"2a,b-RL",,,,,,,,,,,,,
Frequency (khz),Input pk-pk (v),Output pk-pk (V),Phase Displacement (us),A(v),Frequency,W,Phase Displacement (s),Phase Shift (deg),LOG(v),Experimental ,A(v) - Theoritical,Theoretical,Phase Shift - Theoretical
0.001,3.92,0.24,0,0.0612244898,1,6.283185307,0,0,0.7981798684,-24.26149651,0.00006283185295,-84.03640265,89.9964
0.005,3.92,0.24,0,0.0612244898,5,31.41592654,0,0,1.497149873,-24.26149651,0.0003141592499,-70.05700297,89.982
0.01,3.92,0.24,0,0.0612244898,10,62.83185307,0,0,1.798179868,-24.26149651,0.0006283184067,-64.03640435,89.964
0.05,4,0.24,0,0.06,50,314.1592654,0,0,2.497149873,-24.43697499,0.003141577151,-50.05704541,89.82000059
0.1,4,0.24,0,0.06,100,628.3185307,0,0,2.798179868,-24.43697499,0.006283061286,-44.03657408,89.64000474
0.5,4.16,0.24,340,0.05769230769,500,3141.592654,0.00034,61.2,3.497149873,-24.77764178,0.03140043486,-30.06128675,88.20059183
1,4.16,0.4,200,0.09615384615,1000,6283.185307,0.0002,72,3.798179868,-20.34066679,0.06270819398,-24.05351414,86.40472622
5,4.24,1.6,40,0.3773584906,5000,31415.92654,0.00004,72,4.497149873,-8.464917479,0.2997168036,-10.46577815,72.55940551
10,4.32,2.56,15,0.5925925926,10000,62831.85307,0.000015,54,4.798179868,-4.54487563,0.5320180445,-5.481472749,57.85809236
50,4.56,4.32,0.8,0.9473684211,50000,314159.2654,0.0000008,14.4,5.497149873,-0.469621917,0.952890514,-0.4191399285,17.65678715
100,4.32,4.32,0.3,1,100000,628318.5307,0.0000003,10.8,5.798179868,0,0.9875704922,-0.1086378986,9.043061079
500,4.32,4.08,0.08,0.9444444444,500000,3141592.654,0.00000008,14.4,6.497149873,-0.4964716745,0.9994937787,-0.00439809537,1.823165721
1000,4.24,3.6,0.09,0.8490566038,1000000,6283185.307,0.00000009,32.4,6.798179868,-1.421267117,0.9998733726,-0.001099941471,0.9118136696
0.4,4,0.24,360,0.06,400,2513.274123,0.00036,51.84,3.40023986,-24.43697499,0.02512480738,-31.99794518,88.56030308
2,4.24,0.88,104,0.2075471698,2000,12566.37061,0.000104,74.88,4.099209864,-13.65766369,0.1246831039,-18.0838479,82.83754419
3,4.32,1.12,70,0.2592592593,3000,18849.55592,0.00007,75.6,4.275301123,-11.72531448,0.1852335541,-14.64560681,79.32525059
4,4.32,1.52,52,0.3518518519,4000,25132.74123,0.000052,74.88,4.40023986,-9.072803177,0.2437470839,-12.26121143,75.89219763
7,4.32,2.16,24,0.5,7000,43982.29715,0.000024,60.48,4.643277908,-6.020599913,0.4026028462,-7.902463183,66.25900387
200,4.32,4.32,0.04,1,200000,1256637.061,0.00000004,2.88,6.099209864,0,0.9968486722,-0.02741530595,4.549865309
400,4.32,4.16,0.08,0.962962963,400000,2513274.123,0.00000008,11.52,6.40023986,-0.3278083238,0.9992093669,-0.006870068119,2.278524729