Time - Plot 0,Amplitude - Plot 0,Amplitude - Plot 1
0,14.4,-10.2
0.0001,14.4,-10.2
0.0002,14.4,-10
0.0003,14.4,-10
0.0004,14.4,-10
0.0005,14.4,-10
0.0006,14.4,-10
0.0007,14.4,-10
0.0008,14.4,-10
0.0009,14.4,-10
0.001,14.4,-10
0.0011,14.4,-10.2
0.0012,14.4,-10
0.0013,14.4,-10
0.0014,14.4,-10
0.0015,14.4,-10
0.0016,14.4,-10
0.0017,14.4,-10
0.0018,14.4,-10
0.0019,14.4,-10
0.002,14.4,-10
0.0021,14.4,-10
0.0022,14.4,-10
0.0023,14.4,-10
0.0024,14.4,-10
0.0025,14.4,-10
0.0026,14.4,-10
0.0027,14.4,-10
0.0028,14.4,-9.8
0.0029,14.4,-9.8
0.003,14.4,-10
0.0031,14.4,-10
0.0032,14.4,-9.8
0.0033,14.4,-9.8
0.0034,14.4,-9.8
0.0035,14.4,-9.8
0.0036,14.4,-9.8
0.0037,14.4,-9.8
0.0038,14.4,-9.8
0.0039,14.4,-9.6
0.004,14.4,-9.6
0.0041,14.4,-9.8
0.0042,14.4,-9.8
0.0043,14.4,-9.6
0.0044,14.4,-9.8
0.0045,14.4,-9.8
0.0046,14.4,-9.6
0.0047,14.4,-9.6
0.0048,14.4,-9.6
0.0049,14.4,-9.6
0.005,14.4,-9.6
0.0051,14.4,-9.6
0.0052,14.4,-9.6
0.0053,14.4,-9.4
0.0054,14.4,-9.4
0.0055,14.4,-9.6
0.0056,14.4,-9.4
0.0057,14.4,-9.4
0.0058,14.4,-9.4
0.0059,14.4,-9.2
0.006,14.4,-9.4
0.0061,14.4,-9.4
0.0062,14.4,-9.2
0.0063,14.4,-9.2
0.0064,14.2,-9.2
0.0065,14.4,-9.2
0.0066,14.4,-9.2
0.0067,14.4,-9.2
0.0068,14.4,-9.2
0.0069,14.4,-9.2
0.007,14.4,-9
0.0071,14.4,-9
0.0072,14.4,-9
0.0073,14.4,-9
0.0074,14.4,-9
0.0075,14.4,-9
0.0076,14.4,-8.8
0.0077,14.4,-9
0.0078,14.4,-8.8
0.0079,14.4,-8.8
0.008,14.4,-8.8
0.0081,14.4,-8.6
0.0082,14.4,-8.6
0.0083,14.2,-8.6
0.0084,14.4,-8.6
0.0085,14.4,-8.6
0.0086,14.4,-8.6
0.0087,14.4,-8.6
0.0088,14.4,-8.6
0.0089,14.4,-8.4
0.009,14.4,-8.6
0.0091,14.4,-8.6
0.0092,14.4,-8.4
0.0093,14.4,-8.4
0.0094,14.4,-8.4
0.0095,14.4,-8.4
0.0096,14.4,-8.2
0.0097,14.4,-8.2
0.0098,14.4,-8.2
0.0099,14.4,-8.2
0.01,14.4,-8
0.0101,14.4,-8
0.0102,14.4,-8
0.0103,14.4,-8
0.0104,14.4,-8
0.0105,14.4,-7.8
0.0106,14.4,-8
0.0107,14.4,-7.8
0.0108,14.4,-7.8
0.0109,14.4,-7.8
0.011,14.4,-7.8
0.0111,14.4,-7.6
0.0112,14.4,-7.6
0.0113,14.4,-7.6
0.0114,14.4,-7.6
0.0115,14.4,-7.6
0.0116,14.4,-7.4
0.0117,14.4,-7.4
0.0118,14.4,-7.4
0.0119,14.4,-7.2
0.012,14.4,-7.4
0.0121,14.4,-7.4
0.0122,14.4,-7.2
0.0123,14.4,-7.2
0.0124,14.4,-7
0.0125,14.4,-7
0.0126,14.4,-7
0.0127,14.4,-7
0.0128,14.6,-7
0.0129,14.4,-7
0.013,14.4,-6.8
0.0131,14.4,-6.8
0.0132,14.4,-6.8
0.0133,14.4,-6.8
0.0134,14.4,-6.6
0.0135,14.4,-6.6
0.0136,14.4,-6.6
0.0137,14.4,-6.6
0.0138,14.4,-6.6
0.0139,14.4,-6.4
0.014,14.4,-6.4
0.0141,14.4,-6.4
0.0142,14.4,-6.2
0.0143,14.4,-6.2
0.0144,14.4,-6.2
0.0145,14.4,-6.2
0.0146,14.4,-6
0.0147,14.4,-6
0.0148,14.4,-6
0.0149,14.4,-6
0.015,14.4,-5.8
0.0151,14.4,-5.8
0.0152,14.4,-5.8
0.0153,14.4,-5.8
0.0154,14.4,-5.8
0.0155,14.4,-5.6
0.0156,14.4,-5.6
0.0157,14.4,-5.6
0.0158,14.4,-5.4
0.0159,14.4,-5.4
0.016,14.4,-5.4
0.0161,14.4,-5.4
0.0162,14.4,-5.2
0.0163,14.4,-5.2
0.0164,14.4,-5.2
0.0165,14.4,-5
0.0166,14.4,-5
0.0167,14.4,-4.8
0.0168,14.4,-5
0.0169,14.4,-4.8
0.017,14.4,-4.8
0.0171,14.4,-4.8
0.0172,14.4,-4.6
0.0173,14.4,-4.6
0.0174,14.4,-4.6
0.0175,14.4,-4.4
0.0176,14.4,-4.4
0.0177,14.4,-4.4
0.0178,14.4,-4.2
0.0179,14.4,-4.2
0.018,14.4,-4.2
0.0181,14.4,-4.2
0.0182,14.4,-4
0.0183,14.4,-4
0.0184,14.4,-4
0.0185,14.4,-3.8
0.0186,14.4,-3.8
0.0187,14.4,-3.8
0.0188,14.4,-3.8
0.0189,14.4,-3.6
0.019,14.4,-3.6
0.0191,14.4,-3.6
0.0192,14.4,-3.4
0.0193,14.4,-3.4
0.0194,14.4,-3.4
0.0195,14.4,-3.2
0.0196,14.4,-3.2
0.0197,14.4,-3
0.0198,14.4,-3
0.0199,14.4,-3
0.02,14.4,-3
0.0201,14.4,-3
0.0202,14.4,-2.8
0.0203,14.4,-2.8
0.0204,14.4,-2.8
0.0205,14.4,-2.8
0.0206,14.4,-2.6
0.0207,14.4,-2.6
0.0208,14.4,-2.6
0.0209,14.4,-2.6
0.021,14.4,-2.4
0.0211,14.4,-2.4
0.0212,14.4,-2.2
0.0213,14.4,-2.2
0.0214,14.4,-2.2
0.0215,14.4,-2.2
0.0216,14.4,-2
0.0217,14.4,-2
0.0218,14.4,-2
0.0219,14.4,-1.8
0.022,14.4,-1.8
0.0221,14.4,-1.8
0.0222,14.4,-1.8
0.0223,14.4,-1.6
0.0224,14.4,-1.6
0.0225,14.4,-1.4
0.0226,14.4,-1.4
0.0227,13.6,-1.4
0.0228,12.8,-1.2
0.0229,12.4,-1.2
0.023,11.8,-1.2
0.0231,11.2,-1.2
0.0232,10.6,-1
0.0233,9.8,-1
0.0234,9.2,-1
0.0235,8.8,-0.8
0.0236,8.2,-0.8
0.0237,7.6,-0.8
0.0238,6.8,-0.6
0.0239,6.4,-0.6
0.024,5.8,-0.6
0.0241,5,-0.4
0.0242,4.6,-0.4
0.0243,3.8,-0.4
0.0244,3.2,-0.4
0.0245,2.8,-0.2
0.0246,2,-0.2
0.0247,1.4,-0.2
0.0248,0.8,0
0.0249,0.2,0
0.025,-0.4,0
0.0251,-1.2,0.2
0.0252,-1.8,0.2
0.0253,-2.2,0.4
0.0254,-2.8,0.4
0.0255,-3.6,0.4
0.0256,-4.2,0.4
0.0257,-4.8,0.4
0.0258,-5.4,0.6
0.0259,-6,0.6
0.026,-6.6,0.8
0.0261,-7.2,0.8
0.0262,-7.6,0.8
0.0263,-8.4,1
0.0264,-8.8,1
0.0265,-9.4,1
0.0266,-10.2,1
0.0267,-10.6,1.2
0.0268,-11.4,1.2
0.0269,-12,1.2
0.027,-12.6,1.4
0.0271,-13.2,1.4
0.0272,-13.6,1.4
0.0273,-13.6,1.4
0.0274,-13.6,1.6
0.0275,-13.6,1.6
0.0276,-13.6,1.8
0.0277,-13.6,1.8
0.0278,-13.6,1.8
0.0279,-13.6,2
0.028,-13.6,2
0.0281,-13.6,2
0.0282,-13.6,2.2
0.0283,-13.4,2
0.0284,-13.6,2.2
0.0285,-13.8,2.2
0.0286,-13.6,2.4
0.0287,-13.6,2.4
0.0288,-13.6,2.4
0.0289,-13.6,2.6
0.029,-13.6,2.6
0.0291,-13.6,2.6
0.0292,-13.6,2.8
0.0293,-13.6,2.8
0.0294,-13.6,2.8
0.0295,-13.6,3
0.0296,-13.6,3
0.0297,-13.6,3
0.0298,-13.6,3.2
0.0299,-13.6,3.2
0.03,-13.6,3.2
0.0301,-13.6,3.4
0.0302,-13.6,3.2
0.0303,-13.6,3.4
0.0304,-13.6,3.4
0.0305,-13.6,3.6
0.0306,-13.6,3.6
0.0307,-13.6,3.6
0.0308,-13.6,3.6
0.0309,-13.6,3.8
0.031,-13.6,3.8
0.0311,-13.6,4
0.0312,-13.6,4
0.0313,-13.6,4
0.0314,-13.6,4
0.0315,-13.6,4.2
0.0316,-13.6,4.2
0.0317,-13.6,4.4
0.0318,-13.6,4.4
0.0319,-13.6,4.4
0.032,-13.6,4.4
0.0321,-13.6,4.4
0.0322,-13.6,4.6
0.0323,-13.6,4.6
0.0324,-13.6,4.6
0.0325,-13.6,4.8
0.0326,-13.6,4.8
0.0327,-13.6,4.8
0.0328,-13.6,4.8
0.0329,-13.6,4.8
0.033,-13.6,5
0.0331,-13.6,5
0.0332,-13.6,5
0.0333,-13.6,5.2
0.0334,-13.6,5.2
0.0335,-13.4,5.4
0.0336,-13.6,5.4
0.0337,-13.6,5.4
0.0338,-13.6,5.4
0.0339,-13.6,5.4
0.034,-13.6,5.4
0.0341,-13.6,5.6
0.0342,-13.6,5.6
0.0343,-13.6,5.6
0.0344,-13.6,5.8
0.0345,-13.6,5.8
0.0346,-13.6,5.8
0.0347,-13.6,5.8
0.0348,-13.6,5.8
0.0349,-13.6,6
0.035,-13.6,6
0.0351,-13.4,6
0.0352,-13.6,6.2
0.0353,-13.6,6.2
0.0354,-13.6,6.2
0.0355,-13.6,6.2
0.0356,-13.6,6.4
0.0357,-13.6,6.4
0.0358,-13.6,6.4
0.0359,-13.6,6.4
0.036,-13.6,6.6
0.0361,-13.6,6.6
0.0362,-13.6,6.6
0.0363,-13.4,6.6
0.0364,-13.6,6.8
0.0365,-13.6,6.8
0.0366,-13.6,6.8
0.0367,-13.6,6.8
0.0368,-13.6,6.8
0.0369,-13.6,6.8
0.037,-13.6,7
0.0371,-13.6,7
0.0372,-13.6,7.2
0.0373,-13.6,7
0.0374,-13.6,7.2
0.0375,-13.6,7.2
0.0376,-13.6,7.2
0.0377,-13.6,7.2
0.0378,-13.6,7.4
0.0379,-13.6,7.4
0.038,-13.6,7.4
0.0381,-13.6,7.4
0.0382,-13.6,7.4
0.0383,-13.6,7.6
0.0384,-13.6,7.6
0.0385,-13.6,7.6
0.0386,-13.6,7.8
0.0387,-13.6,7.8
0.0388,-13.6,7.8
0.0389,-13.6,7.6
0.039,-13.6,7.8
0.0391,-13.6,7.8
0.0392,-13.6,7.8
0.0393,-13.6,7.8
0.0394,-13.6,8
0.0395,-13.6,8.2
0.0396,-13.6,8
0.0397,-13.6,8.2
0.0398,-13.6,8.2
0.0399,-13.6,8.2
0.04,-13.6,8.2
0.0401,-13.6,8.2
0.0402,-13.6,8.4
0.0403,-13.6,8.2
0.0404,-13.6,8.4
0.0405,-13.6,8.4
0.0406,-13.6,8.4
0.0407,-13.4,8.6
0.0408,-13.6,8.6
0.0409,-13.6,8.6
0.041,-13.6,8.6
0.0411,-13.6,8.6
0.0412,-13.6,8.6
0.0413,-13.6,8.6
0.0414,-13.6,8.8
0.0415,-13.6,8.6
0.0416,-13.6,8.8
0.0417,-13.6,8.8
0.0418,-13.6,8.8
0.0419,-13.6,9
0.042,-13.4,8.8
0.0421,-13.6,9
0.0422,-13.4,9
0.0423,-13.6,9
0.0424,-13.6,9
0.0425,-13.6,9.2
0.0426,-13.6,9
0.0427,-13.6,9
0.0428,-13.6,9
0.0429,-13.6,9.2
0.043,-13.4,9.2
0.0431,-13.6,9.2
0.0432,-13.6,9.2
0.0433,-13.6,9.2
0.0434,-13.6,9.2
0.0435,-13.4,9.4
0.0436,-13.4,9.4
0.0437,-13.6,9.4
0.0438,-13.4,9.4
0.0439,-13.4,9.4
0.044,-13.6,9.4
0.0441,-13.6,9.4
0.0442,-13.4,9.6
0.0443,-13.4,9.6
0.0444,-13.4,9.4
0.0445,-13.6,9.4
0.0446,-13.6,9.6
0.0447,-13.6,9.6
0.0448,-13.6,9.6
0.0449,-13.6,9.6
0.045,-13.6,9.6
0.0451,-13.4,9.6
0.0452,-13.6,9.6
0.0453,-13.6,9.8
0.0454,-13.6,9.8
0.0455,-13.6,9.8
0.0456,-13.6,9.8
0.0457,-13.6,9.8
0.0458,-13.6,9.8
0.0459,-13.6,9.8
0.046,-13.6,9.8
0.0461,-13.6,10
0.0462,-13.6,9.8
0.0463,-13.4,9.8
0.0464,-13.6,10
0.0465,-13.6,10
0.0466,-13.6,10
0.0467,-13.6,10
0.0468,-13.4,10
0.0469,-13.6,10
0.047,-13.6,10
0.0471,-13.6,10
0.0472,-13.4,10
0.0473,-13.6,10
0.0474,-13.6,10
0.0475,-13.6,10
0.0476,-13.6,10
0.0477,-13.6,10.2
0.0478,-13.6,10
0.0479,-13.6,10
0.048,-13.6,10
0.0481,-13.6,10
0.0482,-13.6,10
0.0483,-13.6,10.2
0.0484,-13.6,10.2
0.0485,-13.4,10.2
0.0486,-13.6,10
0.0487,-13.6,10.2
0.0488,-13.6,10.2
0.0489,-13.6,10.2
0.049,-13.6,10.2
0.0491,-13.4,10.2
0.0492,-13.6,10.2
0.0493,-13.6,10.2
0.0494,-13.6,10.2
0.0495,-13.6,10.2
0.0496,-13.6,10.2
0.0497,-13.6,10.2
0.0498,-13.6,10.2
0.0499,-13.6,10.2
0.05,-13.6,10.2
0.0501,-13.4,10.2
0.0502,-13.6,10.2
0.0503,-13.6,10
0.0504,-13.6,10
0.0505,-13.6,10.2
0.0506,-13.6,10.2
0.0507,-13.6,10.2
0.0508,-13.6,10.2
0.0509,-13.6,10.2
0.051,-13.6,10.2
0.0511,-13.4,10
0.0512,-13.6,10.2
0.0513,-13.6,10.2
0.0514,-13.6,10.2
0.0515,-13.6,10.2
0.0516,-13.6,10.2
0.0517,-13.6,10.2
0.0518,-13.6,10.2
0.0519,-13.6,10
0.052,-13.6,10
0.0521,-13.4,10
0.0522,-13.6,10
0.0523,-13.4,10
0.0524,-13.4,10
0.0525,-13.6,10
0.0526,-13.4,10
0.0527,-13.6,10
0.0528,-13.6,10
0.0529,-13.6,10
0.053,-13.6,10
0.0531,-13.6,10
0.0532,-13.6,10
0.0533,-13.6,9.8
0.0534,-13.6,9.8
0.0535,-13.6,10
0.0536,-13.4,9.8
0.0537,-13.4,10
0.0538,-13.6,9.8
0.0539,-13.6,9.8
0.054,-13.6,9.8
0.0541,-13.6,9.8
0.0542,-13.4,9.8
0.0543,-13.6,9.8
0.0544,-13.6,9.8
0.0545,-13.6,9.8
0.0546,-13.6,9.6
0.0547,-13.6,9.6
0.0548,-13.6,9.6
0.0549,-13.6,9.6
0.055,-13.6,9.6
0.0551,-13.6,9.6
0.0552,-13.6,9.6
0.0553,-13.6,9.6
0.0554,-13.6,9.6
0.0555,-13.6,9.4
0.0556,-13.6,9.4
0.0557,-13.6,9.4
0.0558,-13.6,9.4
0.0559,-13.6,9.4
0.056,-13.6,9.4
0.0561,-13.4,9.4
0.0562,-13.6,9.4
0.0563,-13.6,9.4
0.0564,-13.6,9.4
0.0565,-13.6,9.4
0.0566,-13.6,9.2
0.0567,-13.6,9.2
0.0568,-13.6,9.2
0.0569,-13.6,9.2
0.057,-13.6,9.2
0.0571,-13.6,9.2
0.0572,-13.6,9
0.0573,-13.4,9
0.0574,-13.6,9
0.0575,-13.6,9
0.0576,-13.6,9
0.0577,-13.6,9
0.0578,-13.6,8.8
0.0579,-13.6,9
0.058,-13.4,8.8
0.0581,-13.6,8.8
0.0582,-13.6,8.8
0.0583,-13.4,8.8
0.0584,-13.6,8.8
0.0585,-13.6,8.6
0.0586,-13.6,8.6
0.0587,-13.6,8.6
0.0588,-13.6,8.6
0.0589,-13.6,8.6
0.059,-13.6,8.6
0.0591,-13.6,8.4
0.0592,-13.6,8.6
0.0593,-13.6,8.6
0.0594,-13.6,8.4
0.0595,-13.6,8.4
0.0596,-13.6,8.4
0.0597,-13.6,8.4
0.0598,-13.6,8.2
0.0599,-13.6,8.2
0.06,-13.4,8
0.0601,-13.6,8.2
0.0602,-13.6,8.2
0.0603,-13.6,8
0.0604,-13.6,8
0.0605,-13.6,8
0.0606,-13.6,8
0.0607,-13.6,7.8
0.0608,-13.6,8
0.0609,-13.6,7.8
0.061,-13.6,7.8
0.0611,-13.6,7.8
0.0612,-13.6,7.6
0.0613,-13.6,7.6
0.0614,-13.6,7.6
0.0615,-13.6,7.6
0.0616,-13.6,7.4
0.0617,-13.6,7.4
0.0618,-13.6,7.4
0.0619,-13.4,7.4
0.062,-13.6,7.4
0.0621,-13.6,7.2
0.0622,-13.6,7.2
0.0623,-13.6,7.2
0.0624,-13.6,7.2
0.0625,-13.6,7
0.0626,-13.6,7
0.0627,-13.6,7
0.0628,-13.6,7
0.0629,-13.6,7
0.063,-13.6,6.8
0.0631,-13.6,6.8
0.0632,-13.6,6.8
0.0633,-13.6,6.8
0.0634,-13.6,6.8
0.0635,-13.6,6.8
0.0636,-13.6,6.6
0.0637,-13.6,6.6
0.0638,-13.6,6.6
0.0639,-13.6,6.6
0.064,-13.4,6.6
0.0641,-13.6,6.4
0.0642,-13.6,6.4
0.0643,-13.6,6.4
0.0644,-13.6,6.4
0.0645,-13.6,6.2
0.0646,-13.6,6.2
0.0647,-13.6,6
0.0648,-13.6,6
0.0649,-13.6,6
0.065,-13.6,6
0.0651,-13.6,6
0.0652,-13.6,5.8
0.0653,-13.6,5.8
0.0654,-13.6,5.8
0.0655,-13.6,5.6
0.0656,-13.6,5.6
0.0657,-13.4,5.6
0.0658,-13.6,5.6
0.0659,-13.6,5.6
0.066,-13.6,5.4
0.0661,-13.6,5.4
0.0662,-13.6,5.4
0.0663,-13.6,5.2
0.0664,-13.6,5.2
0.0665,-13.6,5.2
0.0666,-13.6,5
0.0667,-13.6,5
0.0668,-13.6,5
0.0669,-13.6,5
0.067,-13.6,5
0.0671,-13.6,4.8
0.0672,-13.6,4.8
0.0673,-13.6,4.8
0.0674,-13.6,4.8
0.0675,-13.6,4.6
0.0676,-13.6,4.6
0.0677,-13.6,4.6
0.0678,-13.4,4.6
0.0679,-13.6,4.4
0.068,-13.6,4.4
0.0681,-13.6,4.2
0.0682,-13.6,4.2
0.0683,-13.6,4.2
0.0684,-13.6,4
0.0685,-13.6,4
0.0686,-13.6,4
0.0687,-13.6,4
0.0688,-13.6,4
0.0689,-13.6,3.8
0.069,-13.6,3.8
0.0691,-13.6,3.8
0.0692,-13.6,3.6
0.0693,-13.6,3.6
0.0694,-13.6,3.6
0.0695,-13.6,3.4
0.0696,-13.6,3.4
0.0697,-13.6,3.2
0.0698,-13.6,3.2
0.0699,-13.6,3.2
0.07,-13.6,3.2
0.0701,-13.6,3.2
0.0702,-13.6,3
0.0703,-13.6,3
0.0704,-13.6,3
0.0705,-13.6,2.8
0.0706,-13.6,2.8
0.0707,-13.6,2.6
0.0708,-13.6,2.8
0.0709,-13.6,2.6
0.071,-13.6,2.4
0.0711,-13.6,2.4
0.0712,-13.6,2.4
0.0713,-13.6,2.4
0.0714,-13.6,2.2
0.0715,-13.6,2.2
0.0716,-13.8,2.2
0.0717,-13.6,2
0.0718,-13.6,2
0.0719,-13.6,2
0.072,-13.6,2
0.0721,-13.6,1.8
0.0722,-13.6,1.8
0.0723,-13.6,1.8
0.0724,-13.6,1.8
0.0725,-13.6,1.6
0.0726,-13.6,1.6
0.0727,-13.4,1.4
0.0728,-12.6,1.4
0.0729,-12,1.2
0.073,-11.4,1.2
0.0731,-10.8,1.2
0.0732,-10.4,1.2
0.0733,-9.6,1
0.0734,-9,1
0.0735,-8.4,1
0.0736,-8,0.8
0.0737,-7.2,0.8
0.0738,-6.6,0.8
0.0739,-6,0.8
0.074,-5.4,0.6
0.0741,-4.8,0.6
0.0742,-4.2,0.4
0.0743,-3.6,0.6
0.0744,-3,0.4
0.0745,-2.4,0.4
0.0746,-1.8,0.2
0.0747,-1.2,0.2
0.0748,-0.6,0.2
0.0749,0,0
0.075,0.8,0
0.0751,1.2,0
0.0752,2,-0.2
0.0753,2.6,-0.2
0.0754,3.2,-0.2
0.0755,3.8,-0.4
0.0756,4.4,-0.4
0.0757,5,-0.4
0.0758,5.8,-0.4
0.0759,6.2,-0.6
0.076,6.8,-0.6
0.0761,7.4,-0.6
0.0762,8,-0.8
0.0763,8.6,-0.8
0.0764,9.2,-0.8
0.0765,9.8,-1
0.0766,10.4,-1
0.0767,11,-1.2
0.0768,11.8,-1.2
0.0769,12.2,-1.2
0.077,12.8,-1.2
0.0771,13.4,-1.4
0.0772,14.2,-1.2
0.0773,14.4,-1.4
0.0774,14.4,-1.4
0.0775,14.4,-1.4
0.0776,14.4,-1.6
0.0777,14.4,-1.6
0.0778,14.4,-1.8
0.0779,14.4,-1.8
0.078,14.4,-1.8
0.0781,14.4,-2
0.0782,14.4,-2
0.0783,14.4,-2.2
0.0784,14.4,-2.2
0.0785,14.4,-2.2
0.0786,14.4,-2.2
0.0787,14.4,-2.4
0.0788,14.4,-2.4
0.0789,14.4,-2.4
0.079,14.4,-2.4
0.0791,14.4,-2.6
0.0792,14.2,-2.6
0.0793,14.4,-2.6
0.0794,14.4,-2.8
0.0795,14.4,-2.8
0.0796,14.4,-2.8
0.0797,14.4,-3
0.0798,14.4,-3
0.0799,14.4,-3
0.08,14.4,-3
0.0801,14.4,-3
0.0802,14.4,-3.2
0.0803,14.4,-3.2
0.0804,14.4,-3.2
0.0805,14.4,-3.4
0.0806,14.4,-3.4
0.0807,14.4,-3.4
0.0808,14.4,-3.6
0.0809,14.4,-3.6
0.081,14.4,-3.6
0.0811,14.4,-3.6
0.0812,14.4,-3.8
0.0813,14.4,-3.8
0.0814,14.4,-3.8
0.0815,14.4,-4
0.0816,14.4,-4
0.0817,14.2,-4
0.0818,14.4,-4
0.0819,14.4,-4.2
0.082,14.2,-4.2
0.0821,14.4,-4.4
0.0822,14.4,-4.4
0.0823,14.4,-4.6
0.0824,14.4,-4.4
0.0825,14.4,-4.6
0.0826,14.4,-4.6
0.0827,14.4,-4.6
0.0828,14.4,-4.6
0.0829,14.4,-4.8
0.083,14.4,-4.8
0.0831,14.4,-4.8
